competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.593,0.651,0.69
Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093,0.023,0.38
Pop Rocks,0,1,0,0,0,0,1,0,1,0.604,0.837,0.41
Red vines,0,1,0,0,0,0,0,0,1,0.581,0.116,0.37
Reese's Miniatures,1,0,0,1,0,0,0,0,0,0.034,0.279,0.82
Reese's Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72,0.651,0.84
Reese's pieces,1,0,0,1,0,0,0,0,1,0.406,0.651,0.73
Reese's stuffed with pieces,1,0,0,1,0,0,0,0,0,0.988,0.651,0.73
Ring pop,0,1,0,0,0,0,1,0,0,0.732,0.965,0.35
Rolo,1,0,1,0,0,0,0,0,1,0.86,0.86,0.66
Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.732,0.069,0.3
Runts,0,1,0,0,0,0,1,0,1,0.872,0.279,0.43
Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,0.35
Skittles original,0,1,0,0,0,0,0,0,1,0.941,0.22,0.63
Skittles wildberry,0,1,0,0,0,0,0,0,1,0.941,0.22,0.55
Nestle Smarties,1,0,0,0,0,0,0,0,1,0.267,0.976,0.38
Smarties candy,0,1,0,0,0,0,1,0,1,0.267,0.116,0.46
Snickers,1,0,1,1,1,0,0,1,0,0.546,0.651,0.77
Snickers Crisper,1,0,1,1,0,1,0,1,0,0.604,0.651,0.6
Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.069,0.116,0.6
Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.069,0.116,0.53
Starburst,0,1,0,0,0,0,0,0,1,0.151,0.22,0.67
Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.569,0.058,0.35
Sugar Babies,0,0,1,0,0,0,0,0,1,0.965,0.767,0.33
Sugar Daddy,0,0,1,0,0,0,0,0,0,0.418,0.325,0.32
Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,0.27
Swedish Fish,0,1,0,0,0,0,0,0,1,0.604,0.755,0.55
Tootsie Pop,1,1,0,0,0,0,1,0,0,0.604,0.325,0.49
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.313,0.511,0.43
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.174,0.011,0.46
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.325,0.5
Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.313,0.255,0.47
Twix,1,0,1,0,0,1,0,1,0,0.546,0.906,0.82
Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.116,0.45
Warheads,0,1,0,0,0,0,1,0,0,0.093,0.116,0.39
Welch's Fruit Snacks,0,1,0,0,0,0,0,0,1,0.313,0.313,0.44
Werther's Original Caramel,0,0,1,0,0,0,1,0,0,0.186,0.267,0.42
Whoppers,1,0,0,0,0,1,0,0,1,0.872,0.848,0.5
